형태소,품사,분류,카운트
bought,VBD,BLACKPINK,1
bout,IN,BLACKPINK,6
boy,NN,BLACKPINK,2
boy,NNS,BLACKPINK,1
boy,VB,BLACKPINK,2
boy,VBD,BLACKPINK,1
boy,VBP,BLACKPINK,20
boys,NNS,BLACKPINK,1
boys,VBZ,BLACKPINK,1
break,NN,BLACKPINK,2
break,VB,Lady Gaga & BLACKPINK,1
bright,JJ,BLACKPINK,2
bringing,VBG,BLACKPINK,1
brrr,VBD,BLACKPINK,1
bum,NN,BLACKPINK,32
burn,NN,BLACKPINK,2
burn,VBP,BLACKPINK,2
bust,IN,BLACKPINK,1
bust,VBP,BLACKPINK,1
busy,IN,BLACKPINK,2
but,CC,BLACKPINK,9
buy,VB,BLACKPINK,1
by,IN,BLACKPINK,3
bye,NN,BLACKPINK,5
call,VB,BLACKPINK,4
callin,VBN,BLACKPINK,1
can,MD,BLACKPINK,20
candy,NN,Lady Gaga & BLACKPINK,16
car,NN,BLACKPINK,1
care,NN,BLACKPINK,2
catch,NN,BLACKPINK,1
catch,VB,BLACKPINK,1
cause,NN,BLACKPINK,4
chase,VB,BLACKPINK,1
check,NN,BLACKPINK,1
check,VB,BLACKPINK,2
checkmate,NN,BLACKPINK,1
cherry,JJ,BLACKPINK,1
chic,JJ,BLACKPINK,2
chillin,NN,BLACKPINK,18
chilly,RB,BLACKPINK,1
choir,NN,BLACKPINK,1
chosen,VBN,BLACKPINK,1
clean,VB,BLACKPINK,1
close,VBP,BLACKPINK,1
closer,JJR,BLACKPINK,1
club,NN,BLACKPINK,2
cock,NN,BLACKPINK,1
cold,JJ,BLACKPINK,2
come,NN,BLACKPINK,1
come,NN,Lady Gaga & BLACKPINK,1
come,VB,BLACKPINK,4
come,VBN,BLACKPINK,2
come,VBP,BLACKPINK,5
come,VBP,Lady Gaga & BLACKPINK,3
commit,VBP,BLACKPINK,1
cone,NN,BLACKPINK,2
could,MD,BLACKPINK,10
could,MD,Lady Gaga & BLACKPINK,2
couldn,VBP,BLACKPINK,1
course,NN,BLACKPINK,2
crack,NN,BLACKPINK,1
crazy,JJ,BLACKPINK,3
crazy,NN,BLACKPINK,5
crazy,VBP,BLACKPINK,1
crazy,VBP,Lady Gaga & BLACKPINK,2
cream,NN,BLACKPINK,26
cry,VBP,BLACKPINK,1
curb,NN,BLACKPINK,1
d,RB,BLACKPINK,1
damn,RB,BLACKPINK,1
dance,NN,BLACKPINK,3
dangerous,JJ,BLACKPINK,1
darlin,NN,BLACKPINK,2
date,NN,BLACKPINK,1
day,NN,BLACKPINK,2
days,NNS,BLACKPINK,2
ddu-du,JJ,BLACKPINK,8
ddu-du,NN,BLACKPINK,2
dead,VB,BLACKPINK,1
deal,NN,BLACKPINK,1
dealt,RB,BLACKPINK,1
degular,NN,BLACKPINK,1
desert,NN,BLACKPINK,1
deserve,VBP,BLACKPINK,2
desire,VBP,BLACKPINK,2
diamond,NN,BLACKPINK,1
diamonds,NNS,BLACKPINK,2
did,VBD,BLACKPINK,1
die,VB,BLACKPINK,3
die,VBP,BLACKPINK,2
ding,VBG,BLACKPINK,1
dip,NN,BLACKPINK,2
diss,VB,BLACKPINK,1
do,VB,BLACKPINK,22
do,VB,Lady Gaga & BLACKPINK,1
do,VBP,BLACKPINK,11
do,VBP,Lady Gaga & BLACKPINK,1
doctor,NN,BLACKPINK,1
don,JJ,BLACKPINK,2
don,NN,BLACKPINK,2
don,VB,BLACKPINK,2
don,VBP,BLACKPINK,7
done,VBN,BLACKPINK,4
dong,JJ,BLACKPINK,1
door,NN,BLACKPINK,2
double,RB,BLACKPINK,1
double,VB,BLACKPINK,2
down,IN,BLACKPINK,1
down,RB,BLACKPINK,2
down,RP,BLACKPINK,11
down,VBP,BLACKPINK,2
drama,NN,BLACKPINK,2
drip,NN,BLACKPINK,1
drop,NN,BLACKPINK,1
drug,NN,BLACKPINK,1
du,NN,BLACKPINK,5
dumb,JJ,BLACKPINK,6
