형태소,품사,그룹명,카운트
보여,Verb,TWICE,15
보여도,Verb,EXO,1
보여도,Verb,EXO-K,1
보여도,Verb,SEVENTEEN(세븐틴),1
보여도,Verb,TWICE,3
보여요,Verb,EXO,1
보여요,Verb,TWICE,1
보여주고,Verb,EXO-K,2
보여주고,Verb,Red Velvet(레드벨벳),2
보여주고,Verb,TWICE,2
보여주곤,Verb,EXO-K,1
보여주긴,Verb,BTS(방탄소년단),1
보여주던,Verb,BTS(방탄소년단),1
보여주면,Verb,SEVENTEEN(세븐틴),2
보여주면,Verb,TWICE,3
보여준,Verb,EXO,1
보여준,Verb,SEVENTEEN(세븐틴),5
보여줄,Verb,BTS(방탄소년단),2
보여줄,Verb,TWICE,2
보여줄게,Verb,BLACKPINK,1
보여줄게,Verb,BTS(방탄소년단),13
보여줄게,Verb,EXO,1
보여줄게,Verb,Red Velvet(레드벨벳),4
보여줄게,Verb,SEVENTEEN(세븐틴),1
보여줄게,Verb,TWICE,7
보여줄래,Verb,TWICE,2
보여줘,Verb,BTS(방탄소년단) & Zara Larsson,1
보여줘,Verb,EXO,8
보여줘,Verb,NCT U,2
보여줘,Verb,TWICE,18
보여줬잖아,Verb,Red Velvet(레드벨벳),1
보여지는,Verb,Red Velvet(레드벨벳),1
보이,Noun,BLACKPINK,1
보이,Noun,BTS(방탄소년단),4
보이,Noun,EXO,1
보이,Noun,Red Velvet(레드벨벳),1
보이,Noun,SEVENTEEN(세븐틴),2
보이,Noun,TWICE,2
보이겠지,Verb,SEVENTEEN(세븐틴),2
보이겠지만,Verb,EXO,1
보이기,Verb,EXO,1
보이긴,Verb,TWICE,1
보이는,Verb,BTS(방탄소년단),4
보이는,Verb,EXO,1
보이는,Verb,Red Velvet(레드벨벳),1
보이는,Verb,SEVENTEEN(세븐틴),6
보이는,Verb,TWICE,6
보이는걸,Verb,TWICE,1
보이는데,Verb,TWICE,6
보이는지,Verb,SEVENTEEN(세븐틴),2
보이니,Verb,EXO,1
보이니,Verb,Red Velvet(레드벨벳),1
보이니,Verb,TWICE,5
보이더라,Verb,BTS(방탄소년단),1
보이려,Verb,SEVENTEEN(세븐틴),1
보이잖아,Verb,TWICE,3
보이지,Noun,BTS(방탄소년단),8
보이지,Noun,EXO,6
보이지,Noun,NCT U,2
보이지,Noun,Red Velvet(레드벨벳),1
보이지,Noun,SEVENTEEN(세븐틴),4
보이지,Noun,TWICE,3
보이질,Verb,TWICE,1
보인,Verb,BTS(방탄소년단),2
보인,Verb,EXO,2
보인,Verb,TWICE,4
보인다,Verb,BTS(방탄소년단),1
보인다,Verb,SEVENTEEN(세븐틴),1
보인다면,Verb,SEVENTEEN(세븐틴),2
보인데도,Verb,EXO,2
보일,Verb,BTS(방탄소년단) & Juice WRLD,1
보일,Verb,Red Velvet(레드벨벳),1
보일,Verb,SEVENTEEN(세븐틴),5
보일거야,Verb,EXO,1
보일게,Verb,EXO,1
보일까,Verb,BTS(방탄소년단),1
보일까,Verb,SEVENTEEN(세븐틴),1
보일라,Verb,BTS(방탄소년단),2
보일러,Noun,BTS(방탄소년단),1
보일러,Noun,SEVENTEEN(세븐틴),2
보일지,Verb,BTS(방탄소년단),1
보자,Verb,BLACKPINK,2
보자,Verb,BTS(방탄소년단),1
보자,Verb,EXO,3
보자,Verb,Red Velvet(레드벨벳),4
보자,Verb,SEVENTEEN(세븐틴),9
보자,Verb,예리 (YERI) & NCT,1
보자고,Verb,BTS(방탄소년단),7
보자고,Verb,Halsey & SUGA & BTS,1
보자마자,Verb,NCT 2018,1
보자면,Verb,BTS(방탄소년단),1
보잖아,Verb,EXO,3
보잖아,Verb,Red Velvet(레드벨벳),1
보조,Noun,BTS(방탄소년단),6
보죠,Verb,TWICE,1
보증금,Noun,BTS(방탄소년단),1
보지,Noun,BTS(방탄소년단),6
보지,Noun,EXO,2
보지,Noun,NCT 127,1
보지,Noun,Red Velvet(레드벨벳),2
보지,Noun,SEVENTEEN(세븐틴),6
보지,Noun,TWICE,1
보지못한,Verb,EXO,1
보진,Verb,BLACKPINK,1
보질,Verb,BTS(방탄소년단),1
보채도,Verb,Red Velvet(레드벨벳),3
보컬,Noun,BTS(방탄소년단),1
보태,Noun,TWICE,1
보탬,Noun,BTS(방탄소년단),1
보통,Noun,EXO,1
보통,Noun,SEVENTEEN(세븐틴),1
복,Noun,EXO,1
복도,Noun,BTS(방탄소년단),1
복사,Noun,SEVENTEEN(세븐틴),1
복수형,Noun,BTS(방탄소년단),1
복숭아,Noun,Red Velvet(레드벨벳),1
복잡하게,Adjective,TWICE,1
복잡하지,Adjective,Red Velvet(레드벨벳),1
복잡한,Adjective,BLACKPINK,1
복잡한,Adjective,BTS(방탄소년단),4
복잡한,Adjective,EXO,1
복잡한,Adjective,Red Velvet(레드벨벳),3
복잡한,Adjective,TWICE,1
복잡해,Adjective,TWICE,2
복잡해진,Adjective,BTS(방탄소년단),1
복장,Noun,SEVENTEEN(세븐틴),1
본,Modifier,EXO,1
본,Verb,BLACKPINK,3
본,Verb,BTS(방탄소년단),10
본,Verb,BTS(방탄소년단) & Charli XCX,1
본,Verb,EXO,8
본,Verb,EXO-K,2
본,Verb,NCT U,1
본,Verb,Red Velvet(레드벨벳),7
본,Verb,SEVENTEEN(세븐틴),5
본,Verb,TWICE,7
본건데,Verb,SEVENTEEN(세븐틴),1
본격,Noun,BTS(방탄소년단),1
본능,Noun,BTS(방탄소년단),1
본능,Noun,EXO,12
본능,Noun,EXO-K,1
본능,Noun,Red Velvet(레드벨벳),1
본다,Verb,BTS(방탄소년단),2
본다,Verb,EXO,1
본다,Verb,SEVENTEEN(세븐틴),2
본다,Verb,TWICE,1
본다고,Verb,BLACKPINK,1
본다고,Verb,BTS(방탄소년단),2
본다면,Verb,EXO,1
본때,Noun,BTS(방탄소년단),1
본론,Noun,SEVENTEEN(세븐틴),1
본보야지,Verb,BTS(방탄소년단),1
본심,Noun,BTS(방탄소년단),2
본질,Noun,BTS(방탄소년단),1
볼,Noun,BLACKPINK,2
볼,Noun,BTS(방탄소년단),29
볼,Noun,EXO,22
볼,Noun,EXO-K,2
볼,Noun,NCT U,1
볼,Noun,Red Velvet(레드벨벳),44
볼,Noun,SEVENTEEN(세븐틴),17
볼,Noun,TWICE,31
볼걸,Noun,SEVENTEEN(세븐틴),1
볼까,Verb,BTS(방탄소년단),7
볼까,Verb,EXO,6
볼까,Verb,NCT DREAM,3
볼까,Verb,Red Velvet(레드벨벳),21
볼까,Verb,TWICE,4
볼라,Noun,BTS(방탄소년단),1
볼륨,Noun,EXO,1
볼륨,Noun,예리 (YERI) & NCT,1
볼세라,Verb,EXO,1
볼수록,Verb,BTS(방탄소년단),1
볼수록,Verb,TWICE,1
볼일,Noun,SEVENTEEN(세븐틴),1
볼일,Noun,TWICE,1
볼펜,Noun,BTS(방탄소년단),1
볼품,Noun,BTS(방탄소년단),1
봄,Noun,BTS(방탄소년단),5
봄,Noun,EXO,1
봄,Noun,Red Velvet(레드벨벳),1
봄,Noun,SEVENTEEN(세븐틴),7
봄날,Noun,BTS(방탄소년단),3
봄날,Noun,EXO,1
봅,Verb,BTS(방탄소년단),1
봅시다,Verb,BTS(방탄소년단),1
봉송,Noun,BTS(방탄소년단),2
봐,Verb,BLACKPINK,8
봐,Verb,BTS(방탄소년단),120
봐,Verb,EXO,67
봐,Verb,EXO-K,6
봐,Verb,NCT,1
봐,Verb,NCT 127,6
봐,Verb,NCT DREAM,7
봐,Verb,NCT U,9
봐,Verb,Red Velvet(레드벨벳),102
봐,Verb,SEVENTEEN(세븐틴),31
봐,Verb,TWICE,149
봐,Verb,예리 (YERI) & NCT,4
봐도,Verb,BLACKPINK,5
봐도,Verb,BTS(방탄소년단),14
봐도,Verb,EXO,21
봐도,Verb,EXO-K,1
봐도,Verb,NCT U,4
봐도,Verb,Red Velvet(레드벨벳),13
봐도,Verb,SEVENTEEN(세븐틴),15
봐도,Verb,TWICE,18
봐도,Verb,옥상달빛,3
봐라,Verb,BTS(방탄소년단),10
봐라,Verb,SEVENTEEN(세븐틴),2
봐브러야제,Noun,BTS(방탄소년단),1
봐서,Verb,SEVENTEEN(세븐틴),1
봐야지,Verb,BTS(방탄소년단),1
봐요,Verb,BTS(방탄소년단),1
봐요,Verb,EXO,3
봐요,Verb,Red Velvet(레드벨벳),9
봐요,Verb,SEVENTEEN(세븐틴),4
봐요,Verb,TWICE,17
봐주길,Verb,Red Velvet(레드벨벳),1
봐줄,Verb,SEVENTEEN(세븐틴),1
봐줘,Verb,EXO,4
봐줘,Verb,Red Velvet(레드벨벳),1
봐줘,Verb,SEVENTEEN(세븐틴),2
봐줘,Verb,TWICE,3
봤겠지,Verb,BTS(방탄소년단),1
봤고,Verb,BTS(방탄소년단),1
봤나,Verb,SEVENTEEN(세븐틴),1
봤는데,Verb,BTS(방탄소년단),1
봤는데,Verb,Red Velvet(레드벨벳),2
봤는데,Verb,SEVENTEEN(세븐틴),1
봤다면,Verb,EXO,1
봤다면,Verb,SEVENTEEN(세븐틴),1
봤던,Verb,BTS(방탄소년단),2
봤던,Verb,EXO,1
봤던,Verb,NCT DREAM,1
봤던,Verb,SEVENTEEN(세븐틴),1
봤던,Verb,TWICE,3
봤어,Verb,BTS(방탄소년단),2
봤어,Verb,EXO,4
봤어,Verb,SEVENTEEN(세븐틴),1
봤어,Verb,TWICE,1
봤어야,Verb,BTS(방탄소년단),1
봤으면,Verb,SEVENTEEN(세븐틴),1
봤을,Verb,Red Velvet(레드벨벳),1
봤을까,Verb,BTS(방탄소년단),1
봤자,Verb,BTS(방탄소년단),4
봤자,Verb,EXO,1
봤자,Verb,SEVENTEEN(세븐틴),1
봤자,Verb,TWICE,1
봤잖아,Verb,SEVENTEEN(세븐틴),1
봤지,Verb,BTS(방탄소년단),8
봤지,Verb,SEVENTEEN(세븐틴),1
봤지,Verb,TWICE,1
봤지만,Verb,NCT U,1
뵈지,Verb,BTS(방탄소년단),1
부,Noun,BTS(방탄소년단),1
부,Noun,TWICE,1
부갈루,Noun,BTS(방탄소년단),1
부끄러,Adjective,EXO,1
부끄러운,Adjective,EXO,1
부끄러운,Adjective,TWICE,1
부끄러워,Adjective,BTS(방탄소년단),1
부끄러워,Adjective,Red Velvet(레드벨벳),1
부끄러워,Adjective,TWICE,1
부끄러워져,Adjective,TWICE,1
부끄럽던,Adjective,BTS(방탄소년단),1
부끄럽지,Adjective,BTS(방탄소년단),2
부끄부끄,Noun,TWICE,1
부네,Adjective,BTS(방탄소년단),1
부는,Verb,BLACKPINK,1
부는,Verb,BTS(방탄소년단),2
부는,Verb,EXO,1
부는,Verb,SEVENTEEN(세븐틴),2
부담,Noun,BTS(방탄소년단),1
부드러운,Adjective,EXO,4
부드러운,Adjective,NCT 127,1
부드러운,Adjective,Red Velvet(레드벨벳),3
부드러운,Adjective,TWICE,1
부드러워지자,Adjective,EXO,1
부드런,Adjective,Red Velvet(레드벨벳),1
부드런,Adjective,SEVENTEEN(세븐틴),1
부드럽게,Adjective,BTS(방탄소년단),1
부드럽게,Adjective,EXO,5
부드럽게,Adjective,Red Velvet(레드벨벳),2
부드럽게,Adjective,SEVENTEEN(세븐틴),1
부드럽게,Adjective,TWICE,2
부디,Noun,BTS(방탄소년단),2
부디,Noun,EXO,6
부디,Noun,SEVENTEEN(세븐틴),4
부딪쳐야,Verb,EXO,3
부딪치고,Verb,BTS(방탄소년단),1
부딪혀,Verb,BTS(방탄소년단),2
부딪혀,Verb,EXO,1
부딪혀,Verb,Halsey & SUGA & BTS,1
부딪혀,Verb,Red Velvet(레드벨벳),3
부딪혀,Verb,SEVENTEEN(세븐틴),7
부딪혔을지도,Verb,BTS(방탄소년단),1
부딪히겠지,Verb,BTS(방탄소년단),2
부딪히고,Verb,EXO,1
부딪히며,Verb,BTS(방탄소년단),1
부딪힐,Verb,BTS(방탄소년단),4
부란,Noun,EXO,1
부러,Noun,BTS(방탄소년단),5
부러워지는,Adjective,SEVENTEEN(세븐틴),2
부러워하는,Adjective,EXO,1
부러워해,Adjective,EXO,2
부러졌으니,Verb,BTS(방탄소년단),1
부러질,Verb,BTS(방탄소년단),2
부럽다,Adjective,BTS(방탄소년단),1
부럽대,Adjective,BTS(방탄소년단),2
부럽지,Adjective,BTS(방탄소년단),1
부려,Verb,BTS(방탄소년단),3
부려,Verb,TWICE,1
부렸어,Verb,TWICE,1
부로,Noun,TWICE,1
부르,Verb,BTS(방탄소년단),1
부르게,Verb,BTS(방탄소년단),1
부르게,Verb,TWICE,1
부르고,Verb,EXO,4
부르고,Verb,Red Velvet(레드벨벳),3
부르곤,Verb,SEVENTEEN(세븐틴),3
부르네,Verb,SEVENTEEN(세븐틴),1
부르네,Verb,TWICE,1
부르는,Verb,BTS(방탄소년단),3
부르는,Verb,EXO,1
부르는,Verb,NCT U,1
부르는,Verb,SEVENTEEN(세븐틴),4
부르는,Verb,TWICE,6
부르던,Verb,SEVENTEEN(세븐틴),3
부르던데,Verb,BTS(방탄소년단),1
부르듯,Verb,TWICE,1
부르며,Verb,SEVENTEEN(세븐틴),3
부르면,Verb,TWICE,1
부르자,Verb,SEVENTEEN(세븐틴),4
부르잖아,Verb,BTS(방탄소년단),2
부르짖어,Verb,EXO,1
부른,Verb,BTS(방탄소년단),3
부른,Verb,EXO,2
부른,Verb,NCT 127,1
부른다,Verb,EXO-K,2
부른지도,Verb,BTS(방탄소년단),1
부를,Verb,EXO,5
부를,Verb,Red Velvet(레드벨벳),2
부를,Verb,SEVENTEEN(세븐틴),3
부를게,Verb,BTS(방탄소년단),1
부를래,Verb,SEVENTEEN(세븐틴),6
부를수록,Verb,EXO,3
부름,Verb,BTS(방탄소년단),1
부릅뜨고,Verb,SEVENTEEN(세븐틴),1
부릉부릉,Adverb,BTS(방탄소년단),1
부리고,Noun,EXO,1
부리고,Noun,TWICE,1
부리는,Verb,SEVENTEEN(세븐틴),1
부리듯이,Verb,NCT U,1
부리면,Noun,BTS(방탄소년단),1
부린다,Noun,TWICE,1
부모,Noun,BTS(방탄소년단),3
부모님,Noun,BTS(방탄소년단),9
부비,Noun,EXO,1
부산,Noun,BTS(방탄소년단),4
부서져,Verb,BTS(방탄소년단),1
부서져,Verb,EXO,2
부서져가,Verb,BTS(방탄소년단),1
부서지게,Verb,Red Velvet(레드벨벳),2
부서지고,Verb,EXO,1
부서지네,Verb,BTS(방탄소년단),2
부서지는,Verb,EXO,3
부서지는,Verb,Red Velvet(레드벨벳),3
부서지는,Verb,TWICE,1
부서진,Verb,BTS(방탄소년단),4
부서진,Verb,EXO,4
부서진,Verb,NCT U,2
부서진,Verb,SEVENTEEN(세븐틴),1
부서질,Verb,SEVENTEEN(세븐틴),2
부서질까,Verb,BTS(방탄소년단),3
부서질까,Verb,EXO,1
부셔,Verb,BLACKPINK,1
부셔,Verb,BTS(방탄소년단),1
부셔,Verb,EXO,1
부셔,Verb,Red Velvet(레드벨벳),2
부셔,Verb,SEVENTEEN(세븐틴),1
부수,Noun,BTS(방탄소년단),2
부숴,Noun,BLACKPINK,2
부숴,Noun,BTS(방탄소년단),1
부숴,Noun,EXO,1
부숴,Noun,NCT U,3
부시,Noun,EXO,1
부시는가,Verb,SEVENTEEN(세븐틴),1
부신,Noun,EXO,4
부신,Noun,Red Velvet(레드벨벳),2
부신,Noun,TWICE,2
부심,Noun,BTS(방탄소년단),5
부어,Noun,BLACKPINK,1
부어,Noun,NCT U,1
부어,Noun,SEVENTEEN(세븐틴),2
부어,Noun,TWICE,1
부어진,Adjective,Red Velvet(레드벨벳),1
부었어,Adjective,BTS(방탄소년단),3
부여잡고,Verb,BTS(방탄소년단),1
부장,Noun,BTS(방탄소년단),1
부재,Noun,BTS(방탄소년단),1
부정,Noun,BTS(방탄소년단),1
부정,Noun,SEVENTEEN(세븐틴),3
부족,Noun,SEVENTEEN(세븐틴),1
부족하고,Adjective,TWICE,1
부족하다,Adjective,BTS(방탄소년단),1
부족하잖아,Adjective,NCT U,1
부족한,Adjective,BTS(방탄소년단),2
부족한,Adjective,EXO,1
부족한,Adjective,NCT U,1
부족한데,Adjective,TWICE,2
부족할,Adjective,EXO,1
부족할지,Adjective,BTS(방탄소년단),1
부족해,Adjective,EXO,1
부족해,Adjective,Red Velvet(레드벨벳),2
부족해,Adjective,TWICE,3
부족해도,Adjective,BTS(방탄소년단),3
부족해서,Adjective,SEVENTEEN(세븐틴),3
부족했던,Adjective,SEVENTEEN(세븐틴),1
부질없는,Adjective,NCT U,1
부질없어,Adjective,SEVENTEEN(세븐틴),1
부쩍,Noun,Red Velvet(레드벨벳),2
부처,Noun,BTS(방탄소년단),1
부칠,Verb,SEVENTEEN(세븐틴),1
부탁,Noun,BTS(방탄소년단),1
부탁,Noun,Red Velvet(레드벨벳),3
부탁,Noun,TWICE,1
부터,Foreign,SEVENTEEN(세븐틴),1
부터,Josa,BLACKPINK,2
부터,Josa,BTS(방탄소년단),60
부터,Josa,EXO,13
부터,Josa,EXO-K,4
부터,Josa,Red Velvet(레드벨벳),14
부터,Josa,SEVENTEEN(세븐틴),25
부터,Josa,TWICE,20
부터,Noun,EXO,2
부터,Noun,EXO-K,1
부터,Noun,NCT U,1
부터,Noun,Red Velvet(레드벨벳),2
부터,Noun,SEVENTEEN(세븐틴),1
부터,Noun,TWICE,9
부턴,Josa,EXO,1
부턴,Josa,NCT 127,1
부턴,Josa,SEVENTEEN(세븐틴),3
부턴,Josa,TWICE,3
부풀려주려,Verb,BTS(방탄소년단),1
부풀어,Verb,EXO,1
부풀어,Verb,Red Velvet(레드벨벳),1
부풀어,Verb,TWICE,2
부합,Noun,SEVENTEEN(세븐틴),1
북,Noun,BTS(방탄소년단),2
북,Noun,EXO,1
북,Noun,Red Velvet(레드벨벳),1
북,Noun,SEVENTEEN(세븐틴),1
분,Noun,BTS(방탄소년단),2
분,Noun,EXO,1
분,Noun,Red Velvet(레드벨벳),3
분간,Noun,BTS(방탄소년단),1
분노,Noun,BTS(방탄소년단),18
분노하고,Adjective,BTS(방탄소년단),3
분노하는,Adjective,BTS(방탄소년단),1
분노할,Adjective,BTS(방탄소년단),1
분노해,Adjective,BTS(방탄소년단),10
분뇨,Noun,BTS(방탄소년단),2
분명,Noun,BTS(방탄소년단),5
분명,Noun,EXO,1
분명,Noun,EXO-K,1
분명,Noun,Red Velvet(레드벨벳),2
분명,Noun,SEVENTEEN(세븐틴),1
분명,Noun,TWICE,3
분명하게,Adjective,Red Velvet(레드벨벳),1
분명하고,Adjective,BTS(방탄소년단),1
분명한데,Adjective,EXO,1
분명해,Adjective,TWICE,1
분명해져,Verb,TWICE,1
분명히,Adjective,BTS(방탄소년단),2
분명히,Adjective,EXO,4
분수,Noun,Red Velvet(레드벨벳),1
분위,Noun,NCT U,1
분위기,Noun,BLACKPINK,2
분위기,Noun,BTS(방탄소년단),9
분위기,Noun,NCT U,3
분위기,Noun,Red Velvet(레드벨벳),2
분위기,Noun,SEVENTEEN(세븐틴),2
분위기,Noun,TWICE,3
분주하게,Adjective,Red Velvet(레드벨벳),1
분침,Noun,BTS(방탄소년단),2
분파,Noun,Red Velvet(레드벨벳),1
분한,Noun,EXO,1
분홍,Noun,BLACKPINK,2
분홍,Noun,EXO,1
분홍,Noun,Red Velvet(레드벨벳),1
분홍,Noun,TWICE,1
불,Noun,BLACKPINK,7
불,Noun,BTS(방탄소년단),32
불,Noun,EXO,22
불,Noun,NCT DREAM,1
불,Noun,NCT U,2
불,Noun,Red Velvet(레드벨벳),11
불,Noun,SEVENTEEN(세븐틴),22
불,Noun,TWICE,7
불가,Noun,BTS(방탄소년단),1
불가능하다,Adjective,BTS(방탄소년단),1
불가능함,Adjective,SEVENTEEN(세븐틴),1
불가능해,Adjective,TWICE,1
불가사리,Noun,BTS(방탄소년단),1
불가사의,Noun,BTS(방탄소년단),1
불공평해,Adjective,EXO,4
불규칙,Noun,BTS(방탄소년단),1
불규칙,Noun,NCT U,1
불규칙해지는,Adjective,BTS(방탄소년단),1
불규칙해지는,Adjective,EXO,1
불길,Noun,BLACKPINK,3
불길,Noun,BTS(방탄소년단),1
불길,Noun,EXO,2
불길,Noun,Red Velvet(레드벨벳),1
불길,Noun,TWICE,1
불길한,Adjective,BTS(방탄소년단),1
불꽃,Noun,BLACKPINK,1
불꽃,Noun,BTS(방탄소년단),1
불꽃,Noun,EXO,6
불꽃,Noun,Red Velvet(레드벨벳),7
불꽃,Noun,SEVENTEEN(세븐틴),2
불꽃,Noun,TWICE,5
불꽃,Noun,예리 (YERI) & NCT,1
불꽃놀이,Noun,EXO,1
불도,Noun,TWICE,1
불량,Noun,SEVENTEEN(세븐틴),1
불러,Verb,BLACKPINK,2
불러,Verb,BTS(방탄소년단),23
불러,Verb,EXO,4
불러,Verb,EXO-K,3
불러,Verb,Red Velvet(레드벨벳),8
불러,Verb,SEVENTEEN(세븐틴),10
불러,Verb,TWICE,1
불러내,Verb,EXO,1
불러내고,Verb,TWICE,1
불러내고요,Verb,Red Velvet(레드벨벳),1
불러내요,Verb,Red Velvet(레드벨벳),1
불러도,Verb,SEVENTEEN(세븐틴),5
불러서,Verb,Red Velvet(레드벨벳),1
불러와,Verb,Red Velvet(레드벨벳),1
불러주던,Verb,TWICE,2
불러주며,Verb,EXO,1
불러줄,Verb,BTS(방탄소년단),2
불러줄게,Verb,BTS(방탄소년단),1
불러줄게,Verb,SEVENTEEN(세븐틴),1
불러줘,Verb,BLACKPINK,1
불러줘,Verb,BTS(방탄소년단),1
불러줘,Verb,EXO,2
불러줘,Verb,NCT DREAM,1
불러줘,Verb,SEVENTEEN(세븐틴),2
불러줘,Verb,TWICE,6
불렀나,Verb,TWICE,1
불렀네,Verb,BTS(방탄소년단),3
불렀는지도,Verb,BTS(방탄소년단),1
불렀던,Verb,EXO,3
불렀어,Verb,TWICE,1
불렀을,Verb,BTS(방탄소년단),1
불리,Noun,EXO,1
불리해지는,Adjective,TWICE,1
불만,Noun,SEVENTEEN(세븐틴),1
불면,Noun,TWICE,1
불법,Noun,BTS(방탄소년단),1
불빛,Noun,BLACKPINK,1
불빛,Noun,BTS(방탄소년단),2
불빛,Noun,EXO,3
불빛,Noun,Red Velvet(레드벨벳),5
불빛,Noun,SEVENTEEN(세븐틴),2
불빛,Noun,TWICE,6
불사조,Noun,TWICE,1
불수록,Verb,BLACKPINK,1
불시,Noun,EXO,1
불시,Noun,SEVENTEEN(세븐틴),1
불신,Noun,BTS(방탄소년단),3
불쌍해,Adjective,BLACKPINK,2
불쌍해하지,Adjective,BLACKPINK,3
불쌍했는지,Adjective,TWICE,1
불쑥,Noun,Red Velvet(레드벨벳),2
불씨,Noun,BLACKPINK,1
불씨,Noun,BTS(방탄소년단),3
불씨,Noun,EXO,1
불씨,Noun,NCT U,1
불씨,Noun,SEVENTEEN(세븐틴),2
불안,Noun,EXO,1
불안,Noun,TWICE,1
불안도,Noun,TWICE,2
불안정한,Adjective,NCT U,1
불안하게,Adjective,TWICE,1
불안하지,Adjective,BTS(방탄소년단),1
불안한,Adjective,BLACKPINK,1
불안한,Adjective,EXO,2
불안한,Adjective,Red Velvet(레드벨벳),1
불안함에,Adjective,SEVENTEEN(세븐틴),1
불안해,Adjective,BLACKPINK,1
불안해,Adjective,EXO,2
불안해,Adjective,SEVENTEEN(세븐틴),1
불안해,Adjective,TWICE,1
불안해서,Adjective,SEVENTEEN(세븐틴),1
불안해하지,Adjective,NCT 127,1
불안해하지만,Adjective,Red Velvet(레드벨벳),1
불어,Noun,BLACKPINK,1
불어,Noun,EXO,1
불어,Noun,Red Velvet(레드벨벳),4
불어,Noun,SEVENTEEN(세븐틴),3
불어,Noun,TWICE,2
불어내,Verb,BTS(방탄소년단),2
불어오고,Verb,Red Velvet(레드벨벳),1
불어오는,Verb,Red Velvet(레드벨벳),4
불어오면,Verb,EXO,1
불어온,Verb,EXO,4
불어와,Verb,EXO,2
불어와,Verb,Red Velvet(레드벨벳),2
불어왔을까,Verb,EXO,1
불장난,Noun,BLACKPINK,7
불장난,Noun,BTS(방탄소년단),1
불치,Noun,BTS(방탄소년단),1
불타,Noun,BTS(방탄소년단),3
불타,Noun,예리 (YERI) & NCT,1
불타는,Adjective,Red Velvet(레드벨벳),1
불투명한,Adjective,BTS(방탄소년단),1
불투명한,Adjective,EXO,1
불투명한,Adjective,Red Velvet(레드벨벳),1
불편한,Adjective,TWICE,1
불편해,Adjective,BTS(방탄소년단),2
불필요해,Adjective,SEVENTEEN(세븐틴),1
불행,Noun,BTS(방탄소년단),2
불행,Noun,SEVENTEEN(세븐틴),1
불행하게도,Adjective,SEVENTEEN(세븐틴),1
불행하니까,Adjective,BTS(방탄소년단),1
불행한,Adjective,BTS(방탄소년단),1
불현듯,Noun,BTS(방탄소년단),1
붉,Adjective,SEVENTEEN(세븐틴),1
붉게,Adjective,BTS(방탄소년단),4
붉게,Adjective,EXO,3
붉게,Adjective,Red Velvet(레드벨벳),4
붉어진,Adjective,TWICE,1
붉은,Adjective,BLACKPINK,1
붉은,Adjective,BTS(방탄소년단),2
붉은,Adjective,TWICE,1
붉은빛,Noun,TWICE,1
붉히고,Adjective,SEVENTEEN(세븐틴),1
붐,Noun,SEVENTEEN(세븐틴),60
붐붐,Noun,Red Velvet(레드벨벳),1
붐붐,Noun,SEVENTEEN(세븐틴),29
붐붐붐붐붐붐붐붐붐,Noun,SEVENTEEN(세븐틴),2
붐비고,Verb,Red Velvet(레드벨벳),1
붓는,Verb,BTS(방탄소년단),1
붕,Noun,BTS(방탄소년단),1
붕,Noun,SEVENTEEN(세븐틴),1
붕붕,Noun,Red Velvet(레드벨벳),1
붙기,Verb,BTS(방탄소년단),1
붙들,Verb,BTS(방탄소년단),1
붙들어,Verb,BTS(방탄소년단),1
붙들어매,Verb,BTS(방탄소년단),1
붙어,Verb,BTS(방탄소년단),1
붙어,Verb,Red Velvet(레드벨벳),3
붙어,Verb,SEVENTEEN(세븐틴),3
붙어,Verb,TWICE,1
붙어라,Verb,BTS(방탄소년단),3
붙어있을게,Verb,Red Velvet(레드벨벳),1
붙여,Verb,EXO,2
붙여,Verb,NCT U,3
붙여,Verb,SEVENTEEN(세븐틴),2
붙여서,Verb,SEVENTEEN(세븐틴),1
붙여야,Verb,SEVENTEEN(세븐틴),1
붙은,Verb,BLACKPINK,1
붙잡거나,Verb,EXO,1
붙잡고,Verb,BTS(방탄소년단),2
붙잡고,Verb,EXO,2
붙잡고,Verb,EXO-K,3
붙잡고,Verb,TWICE,2
붙잡아,Verb,SEVENTEEN(세븐틴),1
붙잡아줄래,Verb,TWICE,2
붙잡아줘,Verb,TWICE,4
붙잡았다,Verb,NCT U,1
붙잡어,Verb,BTS(방탄소년단),4
붙잡은,Verb,SEVENTEEN(세븐틴),1
붙잡지,Verb,EXO,2
뷔,Noun,BTS(방탄소년단),30
뷰,Noun,Red Velvet(레드벨벳),1
뷰파인더,Noun,SEVENTEEN(세븐틴),2
브러,Noun,BTS(방탄소년단),2
브런치,Noun,BTS(방탄소년단),1
브레이커,Noun,BTS(방탄소년단),1
브레이크,Noun,BTS(방탄소년단),1
브로드웨이,Noun,BTS(방탄소년단),1
브이,Noun,BTS(방탄소년단),1
블랑카,Noun,Red Velvet(레드벨벳),1
블랙벨트,Noun,BTS(방탄소년단),1
블랙홀,Noun,Red Velvet(레드벨벳),1
블랙홀,Noun,TWICE,1
블럭,Noun,BTS(방탄소년단),1
비,Noun,BTS(방탄소년단),22
비,Noun,EXO,11
비,Noun,NCT U,1
비,Noun,Red Velvet(레드벨벳),9
비,Noun,SEVENTEEN(세븐틴),8
비,Verb,BTS(방탄소년단),1
비결,Noun,Red Velvet(레드벨벳),1
비교,Noun,BTS(방탄소년단),1
비교,Noun,EXO,2
비교,Noun,Red Velvet(레드벨벳),1
