형태소,품사,분류,카운트
finna,Alpha,BLACKPINK,1
fire,Alpha,BLACKPINK,14
fix,Alpha,Lady Gaga & BLACKPINK,1
flavor,Alpha,BLACKPINK,1
flip,Alpha,BLACKPINK,1
fly,Alpha,BLACKPINK,2
foolish,Alpha,BLACKPINK,1
for,Alpha,BLACKPINK,10
for,Alpha,Lady Gaga & BLACKPINK,2
forever,Alpha,BLACKPINK,1
free,Alpha,BLACKPINK,3
fresh,Alpha,BLACKPINK,1
fridge,Alpha,BLACKPINK,2
friend,Alpha,BLACKPINK,1
from,Alpha,BLACKPINK,3
frozen,Alpha,BLACKPINK,1
full,Alpha,BLACKPINK,1
fun,Alpha,BLACKPINK,4
get,Alpha,BLACKPINK,10
get,Alpha,Lady Gaga & BLACKPINK,2
gettin,Alpha,BLACKPINK,2
girl,Alpha,BLACKPINK,5
girls,Alpha,BLACKPINK,12
give,Alpha,BLACKPINK,2
give,Alpha,Lady Gaga & BLACKPINK,2
go,Alpha,BLACKPINK,19
god,Alpha,BLACKPINK,1
goes,Alpha,BLACKPINK,3
goin,Alpha,BLACKPINK,1
gon,Alpha,BLACKPINK,9
gonna,Alpha,BLACKPINK,13
good,Alpha,BLACKPINK,9
goodbye,Alpha,BLACKPINK,2
got,Alpha,BLACKPINK,10
gotta,Alpha,BLACKPINK,6
ha,Alpha,BLACKPINK,1
had,Alpha,BLACKPINK,3
hand,Alpha,BLACKPINK,1
hard,Alpha,BLACKPINK,1
hard,Alpha,Lady Gaga & BLACKPINK,4
hate,Alpha,BLACKPINK,14
have,Alpha,BLACKPINK,18
he,Alpha,BLACKPINK,5
head,Alpha,BLACKPINK,1
hear,Alpha,BLACKPINK,4
heard,Alpha,BLACKPINK,2
heart,Alpha,BLACKPINK,3
heaven,Alpha,BLACKPINK,1
help,Alpha,BLACKPINK,3
henny,Alpha,BLACKPINK,1
her,Alpha,BLACKPINK,2
here,Alpha,Lady Gaga & BLACKPINK,1
hide,Alpha,BLACKPINK,1
high,Alpha,BLACKPINK,3
higher,Alpha,BLACKPINK,13
hijacked,Alpha,BLACKPINK,1
him,Alpha,BLACKPINK,8
hips,Alpha,BLACKPINK,2
honey,Alpha,BLACKPINK,1
hoo,Alpha,BLACKPINK,1
hot,Alpha,BLACKPINK,3
how,Alpha,BLACKPINK,6
hug,Alpha,BLACKPINK,2
huh,Alpha,BLACKPINK,3
huh,Alpha,Lady Gaga & BLACKPINK,2
hundred,Alpha,BLACKPINK,1
ice,Alpha,BLACKPINK,9
icy,Alpha,BLACKPINK,1
if,Alpha,BLACKPINK,11
if,Alpha,Lady Gaga & BLACKPINK,4
in,Alpha,BLACKPINK,27
insane,Alpha,BLACKPINK,1
inside,Alpha,BLACKPINK,1
inside,Alpha,Lady Gaga & BLACKPINK,6
into,Alpha,BLACKPINK,2
is,Alpha,BLACKPINK,9
island,Alpha,BLACKPINK,1
it,Alpha,BLACKPINK,89
it,Alpha,Lady Gaga & BLACKPINK,1
jam,Alpha,BLACKPINK,2
jeans,Alpha,BLACKPINK,1
judge,Alpha,BLACKPINK,3
just,Alpha,BLACKPINK,3
keep,Alpha,BLACKPINK,6
keeps,Alpha,BLACKPINK,1
keys,Alpha,BLACKPINK,1
kick,Alpha,BLACKPINK,22
kicked,Alpha,BLACKPINK,3
kicks,Alpha,BLACKPINK,1
kill,Alpha,BLACKPINK,5
killin,Alpha,BLACKPINK,1
kills,Alpha,BLACKPINK,2
kind,Alpha,BLACKPINK,2
kinda,Alpha,BLACKPINK,2
kiss,Alpha,BLACKPINK,7
knew,Alpha,BLACKPINK,3
know,Alpha,BLACKPINK,49
know,Alpha,Lady Gaga & BLACKPINK,1
known,Alpha,BLACKPINK,1
l,Alpha,BLACKPINK,32
lalala,Alpha,BLACKPINK,1
lately,Alpha,BLACKPINK,2
later,Alpha,BLACKPINK,45
lease,Alpha,BLACKPINK,2
least,Alpha,Lady Gaga & BLACKPINK,1
leave,Alpha,BLACKPINK,1
left,Alpha,BLACKPINK,4
let,Alpha,BLACKPINK,8
let,Alpha,Lady Gaga & BLACKPINK,1
letter,Alpha,BLACKPINK,1
letters,Alpha,BLACKPINK,1
letting,Alpha,BLACKPINK,3
lick,Alpha,BLACKPINK,2
lie,Alpha,BLACKPINK,3
life,Alpha,BLACKPINK,3
light,Alpha,BLACKPINK,4
lighting,Alpha,BLACKPINK,3
lights,Alpha,Lady Gaga & BLACKPINK,2
like,Alpha,BLACKPINK,69
lil,Alpha,BLACKPINK,1
line,Alpha,BLACKPINK,1
lips,Alpha,BLACKPINK,1
list,Alpha,BLACKPINK,1
lit,Alpha,BLACKPINK,1
little,Alpha,BLACKPINK,4
little,Alpha,Lady Gaga & BLACKPINK,2
ll,Alpha,BLACKPINK,23
ll,Alpha,Lady Gaga & BLACKPINK,2
loco,Alpha,BLACKPINK,1
look,Alpha,BLACKPINK,24
looking,Alpha,BLACKPINK,4
loser,Alpha,BLACKPINK,1
loud,Alpha,BLACKPINK,1
love,Alpha,BLACKPINK,74
love,Alpha,Lady Gaga & BLACKPINK,2
lovesick,Alpha,BLACKPINK,7
low,Alpha,Lady Gaga & BLACKPINK,2
m,Alpha,BLACKPINK,29
m,Alpha,Lady Gaga & BLACKPINK,10
ma,Alpha,BLACKPINK,1
mad,Alpha,BLACKPINK,5
made,Alpha,BLACKPINK,3
make,Alpha,BLACKPINK,6
make,Alpha,Lady Gaga & BLACKPINK,2
makes,Alpha,BLACKPINK,1
making,Alpha,BLACKPINK,2
man,Alpha,BLACKPINK,6
manage,Alpha,BLACKPINK,2
maybe,Alpha,BLACKPINK,6
me,Alpha,BLACKPINK,118
me,Alpha,Lady Gaga & BLACKPINK,9
mean,Alpha,BLACKPINK,4
mean,Alpha,Lady Gaga & BLACKPINK,1
meet,Alpha,BLACKPINK,1
melting,Alpha,BLACKPINK,1
mess,Alpha,BLACKPINK,2
messed,Alpha,BLACKPINK,2
messed,Alpha,Lady Gaga & BLACKPINK,1
metal,Alpha,BLACKPINK,1
might,Alpha,BLACKPINK,2
might,Alpha,Lady Gaga & BLACKPINK,1
mind,Alpha,BLACKPINK,1
mine,Alpha,BLACKPINK,1
miss,Alpha,BLACKPINK,2
missile,Alpha,BLACKPINK,4
missing,Alpha,BLACKPINK,2
mistaken,Alpha,BLACKPINK,1
moment,Alpha,BLACKPINK,3
more,Alpha,BLACKPINK,5
move,Alpha,BLACKPINK,3
movie,Alpha,BLACKPINK,1
movin,Alpha,BLACKPINK,2
much,Alpha,BLACKPINK,1
murdered,Alpha,BLACKPINK,1
must,Alpha,BLACKPINK,1
my,Alpha,BLACKPINK,49
myself,Alpha,BLACKPINK,3
na,Alpha,BLACKPINK,22
nah,Alpha,BLACKPINK,2
nasty,Alpha,BLACKPINK,1
need,Alpha,BLACKPINK,9
needed,Alpha,BLACKPINK,2
negative,Alpha,BLACKPINK,2
never,Alpha,BLACKPINK,11
nice,Alpha,BLACKPINK,1
nice,Alpha,Lady Gaga & BLACKPINK,1
night,Alpha,BLACKPINK,5
nights,Alpha,BLACKPINK,2
no,Alpha,BLACKPINK,19
nobody,Alpha,BLACKPINK,1
not,Alpha,BLACKPINK,9
not,Alpha,Lady Gaga & BLACKPINK,1
nothin,Alpha,BLACKPINK,3
nothing,Alpha,BLACKPINK,1
now,Alpha,BLACKPINK,16
now,Alpha,Lady Gaga & BLACKPINK,1
o,Alpha,BLACKPINK,2
of,Alpha,BLACKPINK,6
oh,Alpha,BLACKPINK,3
ohh,Alpha,BLACKPINK,1
okay,Alpha,BLACKPINK,1
old,Alpha,BLACKPINK,1
on,Alpha,BLACKPINK,23
on,Alpha,Lady Gaga & BLACKPINK,5
once,Alpha,BLACKPINK,3
one,Alpha,BLACKPINK,4
only,Alpha,BLACKPINK,11
ooh,Alpha,BLACKPINK,2
or,Alpha,BLACKPINK,6
out,Alpha,BLACKPINK,15
outside,Alpha,Lady Gaga & BLACKPINK,4
outta,Alpha,BLACKPINK,2
over,Alpha,BLACKPINK,8
owe,Alpha,BLACKPINK,1
own,Alpha,BLACKPINK,1
paradise,Alpha,BLACKPINK,1
part,Alpha,BLACKPINK,1
party,Alpha,BLACKPINK,2
pay,Alpha,BLACKPINK,1
peek,Alpha,Lady Gaga & BLACKPINK,1
pick,Alpha,BLACKPINK,1
piece,Alpha,BLACKPINK,1
ping,Alpha,BLACKPINK,1
pink,Alpha,BLACKPINK,1
place,Alpha,BLACKPINK,1
plane,Alpha,BLACKPINK,1
play,Alpha,BLACKPINK,8
playlist,Alpha,BLACKPINK,1
please,Alpha,BLACKPINK,1
plus,Alpha,BLACKPINK,1
pong,Alpha,BLACKPINK,1
poppin,Alpha,BLACKPINK,1
pretend,Alpha,BLACKPINK,1
pretty,Alpha,BLACKPINK,13
price,Alpha,BLACKPINK,1
priceless,Alpha,BLACKPINK,1
prince,Alpha,BLACKPINK,1
princess,Alpha,BLACKPINK,1
problem,Alpha,BLACKPINK,1
program,Alpha,BLACKPINK,1
psycho,Alpha,Lady Gaga & BLACKPINK,2
puddles,Alpha,BLACKPINK,1
pump,Alpha,BLACKPINK,1
put,Alpha,BLACKPINK,1
quit,Alpha,BLACKPINK,1
ra,Alpha,BLACKPINK,3
racks,Alpha,BLACKPINK,2
rain,Alpha,BLACKPINK,1
rather,Alpha,BLACKPINK,1
re,Alpha,BLACKPINK,16
real,Alpha,BLACKPINK,10
real,Alpha,Lady Gaga & BLACKPINK,1
really,Alpha,BLACKPINK,37
recycle,Alpha,BLACKPINK,2
red,Alpha,BLACKPINK,1
regular,Alpha,BLACKPINK,1
relate,Alpha,BLACKPINK,2
relax,Alpha,BLACKPINK,1
replace,Alpha,BLACKPINK,1
ride,Alpha,BLACKPINK,2
right,Alpha,BLACKPINK,6
rings,Alpha,BLACKPINK,1
romance,Alpha,BLACKPINK,1
roses,Alpha,BLACKPINK,1
run,Alpha,BLACKPINK,15
s,Alpha,BLACKPINK,32
s,Alpha,Lady Gaga & BLACKPINK,3
sad,Alpha,BLACKPINK,3
sadly,Alpha,BLACKPINK,1
said,Alpha,BLACKPINK,3
same,Alpha,BLACKPINK,3
savage,Alpha,BLACKPINK,6
saw,Alpha,BLACKPINK,2
say,Alpha,BLACKPINK,6
sayin,Alpha,BLACKPINK,2
scoop,Alpha,BLACKPINK,1
see,Alpha,BLACKPINK,22
see,Alpha,Lady Gaga & BLACKPINK,2
seek,Alpha,BLACKPINK,1
sees,Alpha,BLACKPINK,3
set,Alpha,BLACKPINK,3
she,Alpha,BLACKPINK,1
shhh,Alpha,BLACKPINK,1
shine,Alpha,BLACKPINK,6
shoes,Alpha,BLACKPINK,3
shot,Alpha,BLACKPINK,3
should,Alpha,BLACKPINK,5
show,Alpha,BLACKPINK,5
show,Alpha,Lady Gaga & BLACKPINK,1
shows,Alpha,BLACKPINK,1
sight,Alpha,BLACKPINK,2
sinner,Alpha,BLACKPINK,1
